episode,steps,total_reward
1,44,-33.0
2,81,-70.0
3,100,-100.0
4,100,-100.0
5,100,-100.0
6,100,-100.0
7,100,-100.0
8,100,-100.0
9,100,-100.0
10,100,-100.0
11,100,-100.0
12,100,-100.0
13,100,-100.0
14,100,-100.0
15,100,-100.0
16,100,-100.0
17,100,-100.0
18,100,-100.0
19,100,-100.0
20,100,-100.0
21,100,-100.0
22,100,-100.0
23,31,-20.0
24,92,-81.0
25,18,-7.0
26,26,-15.0
27,19,-8.0
28,69,-58.0
29,9,2.0
30,9,2.0
31,6,5.0
32,14,-3.0
33,5,6.0
34,5,6.0
35,6,5.0
36,5,6.0
37,5,6.0
38,10,1.0
39,5,6.0
40,5,6.0
41,5,6.0
42,6,5.0
43,7,4.0
44,7,4.0
45,5,6.0
46,5,6.0
47,7,4.0
48,5,6.0
49,5,6.0
50,5,6.0
51,7,4.0
52,9,2.0
53,21,-10.0
54,9,2.0
55,21,-10.0
56,5,6.0
57,9,2.0
58,5,6.0
59,17,-6.0
60,9,2.0
61,6,5.0
62,5,6.0
63,8,3.0
64,11,0.0
65,5,6.0
66,5,6.0
67,5,6.0
68,7,4.0
69,5,6.0
70,7,4.0
71,5,6.0
72,7,4.0
73,9,2.0
74,11,0.0
75,5,6.0
76,11,0.0
77,7,4.0
78,5,6.0
79,15,-4.0
80,8,3.0
81,5,6.0
82,13,-2.0
83,5,6.0
84,7,4.0
85,5,6.0
86,5,6.0
87,7,4.0
88,5,6.0
89,5,6.0
90,5,6.0
91,5,6.0
92,5,6.0
93,5,6.0
94,7,4.0
95,7,4.0
96,5,6.0
97,5,6.0
98,5,6.0
99,5,6.0
100,5,6.0
evaluation,1.0,5.0
